"year","month","day","line","ridership"
2019,9,25,"Green",12.211347495386287
2019,9,26,"Green",11.699977273191866
2019,9,27,"Green",13.945365055704508
2019,9,28,"Green",12.683620135462522
2019,9,29,"Green",12.689087965879276
2019,9,30,"Green",12.69461728663424
2019,10,1,"Green",13.76022865197134
2019,10,2,"Green",12.378636347600343
2019,10,3,"Green",11.143772576365633
2019,10,4,"Green",10.23841382850699
2019,10,5,"Green",7.841316665267016
2019,10,6,"Green",8.264049588915343
2019,10,7,"Green",8.69505269771542
2019,10,8,"Green",10.543102975831644
2019,10,9,"Green",11.222381937212452
2019,10,10,"Green",10.761243489077197
2019,10,11,"Green",11.784335096005059
2019,10,12,"Green",9.489935388930485
2019,10,13,"Green",8.694576842204604
2019,10,14,"Green",7.890181864298265
2019,10,15,"Green",9.487356404126032
2019,10,16,"Green",9.00052424993585
2019,10,17,"Green",9.256893333284243
2019,10,18,"Green",9.031858992268585
2019,10,19,"Green",7.824125284867753
2019,10,20,"Green",7.971146032701324
2019,10,21,"Green",8.119809424168437
2019,10,22,"Green",9.316954600389552
2019,10,23,"Green",5.817338996314284
2019,10,24,"Green",5.064032475552417
2019,10,25,"Green",4.971495256260643
2019,10,26,"Green",3.922377911003225
2019,10,27,"Green",4.223669830695428
2019,10,28,"Green",4.527999987438143
2019,10,29,"Green",7.840563413623721
2019,10,30,"Green",6.825733963108065
2019,10,31,"Green",3.5537404720401655
2019,11,1,"Green",3.926901470616601
2019,11,2,"Green",3.757204621872944
2019,11,3,"Green",3.707249525401341
2019,11,4,"Green",3.6569717544294624
2019,11,5,"Green",4.280182444168664
2019,11,6,"Green",4.209471195239228
2019,11,7,"Green",4.986566025838667
2019,11,8,"Green",5.486811601459206
2019,11,9,"Green",4.7795589661818045
2019,11,10,"Green",4.916983867117557
2019,11,11,"Green",5.0573792420271495
2019,11,12,"Green",6.294417834766559
2019,11,13,"Green",6.107624052834152
2019,11,14,"Green",5.7884445687447865
2019,11,15,"Green",9.756963299141637
2019,11,16,"Green",8.913118683232199
2019,11,17,"Green",8.781813116712895
2019,11,18,"Green",8.64963822900916
2019,11,19,"Green",9.045852396182958
2019,11,20,"Green",9.480604997411318
2019,11,21,"Green",11.774538287279382
2019,11,22,"Green",21.58593489612265
2019,11,23,"Green",26.59017453603748
2019,11,24,"Green",26.878944502121303
2019,11,25,"Green",27.17069490461878
2019,11,26,"Green",29.970298443944753
2019,11,27,"Green",24.173205572255565
2019,11,28,"Green",13.835131092039996
2019,11,29,"Green",9.372231669557836
2019,11,30,"Green",8.408390049434356
2019,12,1,"Green",8.058178980773532
2019,12,2,"Green",7.705197350477118
2019,12,3,"Green",6.856228671397084
2019,12,4,"Green",7.365759350659201
2019,12,5,"Green",8.55537447884902
2019,12,6,"Green",6.712703641156832
2019,12,7,"Green",-2.344004757063664
2019,12,8,"Green",-3.4774011180076982
2019,12,9,"Green",-4.591119758234256
2019,12,10,"Green",-5.097169623280845
2019,12,11,"Green",-5.197729052466719
2019,12,12,"Green",-2.030100897972129
2019,12,13,"Green",6.598577927983255
2019,12,14,"Green",8.22243569644299
2019,12,15,"Green",9.628571022163912
2019,12,16,"Green",11.048013366820442
2019,12,17,"Green",12.390023009011019
2019,12,18,"Green",14.012449205014136
2019,12,19,"Green",13.392216044479746
2019,12,20,"Green",12.279050041325323
2019,12,21,"Green",13.383794560782466
2019,12,22,"Green",14.382354416344908
2019,12,23,"Green",15.422732267675682
2019,12,24,"Green",12.518658296641577
2019,12,25,"Green",11.757803544926942
2019,12,26,"Green",11.32488003104522
2019,12,27,"Green",9.417645011336761
2019,12,28,"Green",12.138732574425672
2019,12,29,"Green",11.931306238316775
2019,12,30,"Green",11.716927588493014
2019,12,31,"Green",8.815329208013514
2020,1,1,"Green",8.489331976206417
2020,1,2,"Green",7.548581153282938
2020,1,3,"Green",6.5002455657270755
2020,1,4,"Green",6.897497749335978
2020,1,5,"Green",6.095742414559177
2020,1,6,"Green",5.296611456917558
2020,1,7,"Green",7.317477618852136
2020,1,8,"Green",7.522039751420509
2020,1,9,"Green",8.38589865958418
2020,1,10,"Green",8.943189737673103
2020,1,11,"Green",7.998322419778408
2020,1,12,"Green",7.953417752204173
2020,1,13,"Green",7.90932581504298
2020,1,14,"Green",11.308984823364368
2020,1,15,"Green",12.260010886104135
2020,1,16,"Green",12.21694775967163
2020,1,17,"Green",11.94048148528288
2020,1,18,"Green",10.014429566209401
2020,1,19,"Green",10.874603235305365
2020,1,20,"Green",11.762251849894804
2020,1,21,"Green",15.095412387619486
2020,1,22,"Green",15.162216041070032
2020,1,23,"Green",13.95167880927127
2020,1,24,"Green",14.193085141104028
2020,1,25,"Green",12.85485574464628
2020,1,26,"Green",12.661163113149843
2020,1,27,"Green",12.46809568768977
2020,1,28,"Green",12.836470826591789
2020,1,29,"Green",12.135460999939099
2020,1,30,"Green",11.617955779280145
2020,1,31,"Green",12.237629828823806
2020,2,1,"Green",11.845316233543265
2020,2,2,"Green",12.075410798398993
2020,2,3,"Green",12.306354050201747
2020,2,4,"Green",16.608552575491483
2020,2,5,"Green",5.991500042046976
2020,2,6,"Green",5.274437110046117
2020,2,7,"Green",5.3334524211722645
2020,2,8,"Green",5.2399090399626225
2020,2,9,"Green",5.4408465125091325
2020,2,10,"Green",5.642855934640302
2020,2,11,"Green",6.148099731636262
2020,2,12,"Green",6.854934329042613
2020,2,13,"Green",6.790349687694699
2020,2,14,"Green",6.349051562396389
2020,2,15,"Green",4.324401348665971
2020,2,16,"Green",4.466878668336136
2020,2,17,"Green",4.6134368490413635
2020,2,18,"Green",6.067475699367617
2020,2,19,"Green",5.958444932289178
2020,2,20,"Green",10.614987889972953
2020,2,21,"Green",11.086573301932386
2020,2,22,"Green",10.868696287837862
2020,2,23,"Green",10.678219403704995
2020,2,24,"Green",10.487890951376428
2020,2,25,"Green",10.801804251284517
2020,2,26,"Green",10.532270199587442
2020,2,27,"Green",9.794516206376722
2020,2,28,"Green",10.387003917278568
2020,2,29,"Green",10.392148704933872
2020,3,1,"Green",11.080936557937088
2020,3,2,"Green",11.784002113925485
2020,3,3,"Green",16.745982363164334
2020,3,4,"Green",11.451336604492763
2020,3,5,"Green",9.096303088738008
2020,3,6,"Green",6.710841468874166
2020,3,7,"Green",4.568717326326291
2020,3,8,"Green",3.9024556188243174
2020,3,9,"Green",3.2370389645031925
2020,3,10,"Green",1.9697931939293676
2020,3,11,"Green",-1.3560871945133142
2020,3,12,"Green",-5.77611938393845
2020,3,13,"Green",-12.086982252246013
2020,3,14,"Green",-15.965995824772467
2020,3,15,"Green",-18.544301817708874
2020,3,16,"Green",-21.110259808727957
2020,3,17,"Green",-28.027260706930196
2020,3,18,"Green",-37.67780374164008
