servicedate,stationname,validations
1/8/2018,Fields Corner,3915
1/8/2018,Forest Hills,12391
1/8/2018,Government Center,6197
1/8/2018,Green Street,2910
1/8/2018,Harvard,17081
1/8/2018,Haymarket,9254
1/8/2018,Hynes Convention Center,5744
1/8/2018,Jackson Square,5247
1/8/2018,JFK/Umass,5656
1/8/2018,Kendall/MIT,16445
1/8/2018,Kenmore,5990
1/8/2018,Lechmere,5292
1/8/2018,Malden Center,10459
1/8/2018,Massachusetts Ave.,5384
1/8/2018,Maverick,9690
1/8/2018,North Quincy,8347
1/8/2018,North Station,14608
1/8/2018,Oak Grove,6173
1/8/2018,Orient Heights,2756
1/8/2018,Park Street,14699
1/8/2018,Porter,7929
1/8/2018,Prudential,3057
1/8/2018,Quincy Adams,4259
1/8/2018,Quincy Center,7444
1/8/2018,Revere Beach,2627
1/8/2018,Riverside,1261
1/8/2018,Roxbury Crossing,4353
1/8/2018,Ruggles,10009
1/8/2018,Savin Hill,2142
1/8/2018,Science Park,531
1/8/2018,Shawmut,2055
1/8/2018,South Station,24728
1/8/2018,State Street,13732
1/8/2018,Stony Brook,3152
1/8/2018,Suffolk Downs,376
1/8/2018,Sullivan Square,8154
1/8/2018,Symphony,1437
1/8/2018,Tufts Medical Center,6163
1/8/2018,Wellington,6547
1/8/2018,Wonderland,6037
1/8/2018,Wood Island,1762
1/8/2018,World Trade Center,902
1/9/2018,Airport,6145
1/9/2018,Alewife,11454
1/9/2018,Andrew,5973
1/9/2018,Aquarium,3688
1/9/2018,Arlington,6947
1/9/2018,Ashmont,8879
1/9/2018,Assembly,2986
1/9/2018,Back Bay,15777
1/9/2018,Beachmont,2924
1/9/2018,Bowdoin,2150
1/9/2018,Boylston,4755
1/9/2018,Braintree,4058
1/9/2018,Broadway,6437
1/9/2018,Central,13859
1/9/2018,Charles MGH,10274
1/9/2018,Chinatown,5601
1/9/2018,Community College,3156
1/9/2018,Copley,12359
1/9/2018,Courthouse,1975
1/9/2018,Davis,11589
1/9/2018,Downtown Crossing,24141
1/9/2018,Fields Corner,4076
1/9/2018,Forest Hills,12951
1/9/2018,Government Center,6720
1/9/2018,Green Street,2545
1/9/2018,Harvard,17225
1/9/2018,Haymarket,9630
1/9/2018,Hynes Convention Center,6205
1/9/2018,Jackson Square,5539
1/9/2018,JFK/Umass,5887
1/9/2018,Kendall/MIT,17246
1/9/2018,Kenmore,6297
1/9/2018,Lechmere,5092
1/9/2018,Malden Center,11166
1/9/2018,Massachusetts Ave.,5817
1/9/2018,Maverick,10448
1/9/2018,North Quincy,8849
1/9/2018,North Station,14670
1/9/2018,Oak Grove,6385
1/9/2018,Orient Heights,3970
1/9/2018,Park Street,15543
1/9/2018,Porter,8060
1/9/2018,Prudential,3136
1/9/2018,Quincy Adams,4351
1/9/2018,Quincy Center,8014
1/9/2018,Revere Beach,2781
1/9/2018,Riverside,1356
1/9/2018,Roxbury Crossing,4680
1/9/2018,Ruggles,10206
1/9/2018,Savin Hill,2165
1/9/2018,Science Park,675
1/9/2018,Shawmut,2189
1/9/2018,South Station,24898
1/9/2018,State Street,12989
1/9/2018,Stony Brook,3403
1/9/2018,Suffolk Downs,375
1/9/2018,Sullivan Square,8256
1/9/2018,Symphony,1566
1/9/2018,Tufts Medical Center,6459
1/9/2018,Wellington,6958
1/9/2018,Wonderland,6563
1/9/2018,Wood Island,2052
1/9/2018,World Trade Center,906
1/10/2018,Airport,6093
1/10/2018,Alewife,11270
1/10/2018,Andrew,5959
1/10/2018,Aquarium,3809
1/10/2018,Arlington,6925
1/10/2018,Ashmont,7951
1/10/2018,Assembly,2936
1/10/2018,Back Bay,15805
1/10/2018,Beachmont,2972
1/10/2018,Bowdoin,2099
1/10/2018,Boylston,4619
1/10/2018,Braintree,4256
1/10/2018,Broadway,6423
1/10/2018,Central,14139
1/10/2018,Charles MGH,10434
1/10/2018,Chinatown,5487
1/10/2018,Community College,3250
1/10/2018,Copley,11760
1/10/2018,Courthouse,2017
1/10/2018,Davis,11425
1/10/2018,Downtown Crossing,24275
1/10/2018,Fields Corner,4233
1/10/2018,Forest Hills,13002
1/10/2018,Government Center,6618
